variable,source,line,time,iter,latency,data_source,cpu,node,index,map3D,xidx,yidx,zidx
m_yd,LULESH_OMP.cc,2057,316987,6,21,3,13,1,16236,0,0,0,0
m_xd,LULESH_OMP.cc,2173,317005,6,21,3,24,0,27501,0,0,0,0
m_yd,LULESH_OMP.cc,2175,317010,6,21,1,31,1,34178,0,0,0,0
m_vnew,LULESH_OMP.cc,2193,317018,6,23,103,16,0,17180,1,28,24,16
m_z,LULESH_OMP.cc,2161,317021,6,21,1,1,1,3019,0,0,0,0
m_delv_xi,LULESH_OMP.cc,2285,317029,6,26,103,10,0,10295,1,23,1,10
m_delv_zeta,LULESH_OMP.cc,2353,317048,6,23,101,5,1,6792,1,8,20,6
m_q,LULESH_OMP.cc,2699,317093,6,62,132,2,0,3070,1,30,31,2
m_x,LULESH_OMP.cc,1034,317274,7,48,1,15,1,16502,0,0,0,0
m_fy,LULESH_OMP.cc,1576,317379,7,21,2,10,0,11518,0,0,0,0
m_xdd,LULESH_OMP.cc,1740,317470,7,23,3,10,0,11503,0,0,0,0
m_x,LULESH_OMP.cc,1762,317479,7,21,2,13,1,15279,0,0,0,0
m_x,LULESH_OMP.cc,2035,317491,7,269,100,5,1,5630,0,0,0,0
m_y,LULESH_OMP.cc,2036,317509,7,21,1,4,0,4779,0,0,0,0
m_x,LULESH_OMP.cc,2035,317510,7,40,1,4,0,5918,0,0,0,0
m_x,LULESH_OMP.cc,2035,317517,7,22,101,28,0,30973,0,0,0,0
m_x,LULESH_OMP.cc,2035,317536,7,62,4,21,1,23711,0,0,0,0
m_x,LULESH_OMP.cc,2035,317538,7,42,103,11,1,13854,0,0,0,0
m_y,LULESH_OMP.cc,2036,317543,7,21,3,22,0,24844,0,0,0,0
m_z,LULESH_OMP.cc,2037,317547,7,21,103,7,1,8566,0,0,0,0
m_xd,LULESH_OMP.cc,2056,317555,7,21,103,14,0,17325,0,0,0,0
m_vnew,LULESH_OMP.cc,2193,317583,7,21,103,3,1,3671,1,23,18,3
m_delv_zeta,LULESH_OMP.cc,2353,317607,7,21,103,9,1,10604,1,12,11,10
m_delx_eta,LULESH_OMP.cc,2380,317609,7,21,103,11,1,11682,1,2,13,11
m_delv_zeta,LULESH_OMP.cc,2344,317610,7,21,2,16,0,16794,1,26,12,16
m_matElemlist,LULESH_OMP.cc,2280,317625,7,21,3,11,1,12124,1,28,26,11
m_e,LULESH_OMP.cc,2681,317654,7,32,100,7,1,7238,1,6,2,7
m_q,LULESH_OMP.cc,2699,317661,7,21,3,23,1,24390,1,6,26,23
m_p,LULESH_OMP.cc,698,317753,8,135,22,24,0,25086,1,30,15,24
m_x,LULESH_OMP.cc,961,317793,8,38,1,26,0,29126,0,0,0,0
m_x,LULESH_OMP.cc,961,317797,8,21,3,15,1,17214,0,0,0,0
m_z,LULESH_OMP.cc,1050,317863,8,23,23,9,1,10515,0,0,0,0
m_x,LULESH_OMP.cc,2035,318054,8,21,103,0,0,3,0,0,0,0
m_xd,LULESH_OMP.cc,2056,318061,8,41,104,17,1,18640,0,0,0,0
m_zd,LULESH_OMP.cc,2058,318064,8,21,3,31,1,34998,0,0,0,0
m_x,LULESH_OMP.cc,2035,318068,8,21,103,27,1,29595,0,0,0,0
m_x,LULESH_OMP.cc,2035,318069,8,21,3,7,1,8940,0,0,0,0
m_x,LULESH_OMP.cc,2035,318081,8,21,1,30,0,33044,0,0,0,0
m_y,LULESH_OMP.cc,2036,318083,8,21,3,22,0,24366,0,0,0,0
m_yd,LULESH_OMP.cc,2057,318085,8,21,103,20,0,23338,0,0,0,0
m_xd,LULESH_OMP.cc,2056,318086,8,21,3,7,1,9175,0,0,0,0
m_xd,LULESH_OMP.cc,2056,318099,8,21,2,26,0,30043,0,0,0,0
m_y,LULESH_OMP.cc,2036,318120,8,21,103,7,1,8553,0,0,0,0
m_z,LULESH_OMP.cc,2157,318165,8,21,1,21,1,23784,0,0,0,0
m_delv_zeta,LULESH_OMP.cc,2347,318172,8,21,103,24,0,23565,1,13,0,23
m_delv_zeta,LULESH_OMP.cc,2344,318179,8,21,3,24,0,24808,1,8,7,24
m_delv_zeta,LULESH_OMP.cc,2347,318199,8,22,101,11,1,11094,1,22,26,10
m_delv_zeta,LULESH_OMP.cc,2347,318206,8,21,3,17,1,17355,1,11,30,16
m_y,LULESH_OMP.cc,962,318333,9,36,100,7,1,8878,0,0,0,0
m_x,LULESH_OMP.cc,961,318348,9,47,100,16,0,19086,0,0,0,0
m_z,LULESH_OMP.cc,1050,318424,9,29,23,0,0,451,0,0,0,0
m_x,LULESH_OMP.cc,2035,318619,9,259,3,18,0,20691,0,0,0,0
m_z,LULESH_OMP.cc,2037,318621,9,377,0,15,1,16390,0,0,0,0
m_x,LULESH_OMP.cc,2035,318621,9,22,2,28,0,30552,0,0,0,0
m_xd,LULESH_OMP.cc,2056,318631,9,21,103,12,0,14325,0,0,0,0
m_v,LULESH_OMP.cc,2044,318634,9,22,103,19,1,19665,1,17,6,19
m_x,LULESH_OMP.cc,2035,318643,9,21,103,20,0,22117,0,0,0,0
m_xd,LULESH_OMP.cc,2056,318672,9,21,3,7,1,9428,0,0,0,0
m_xd,LULESH_OMP.cc,2056,318679,9,32,1,2,0,3086,0,0,0,0
m_zd,LULESH_OMP.cc,2058,318695,9,21,103,24,0,27166,0,0,0,0
m_elemBC,LULESH_OMP.cc,2281,318736,9,22,103,7,1,7180,1,12,0,7
m_delv_zeta,LULESH_OMP.cc,2347,318737,9,21,103,6,0,5151,1,31,0,5
m_delv_eta,LULESH_OMP.cc,2324,318748,9,46,4,25,1,26030,1,14,13,25
m_delv_zeta,LULESH_OMP.cc,2347,318770,9,24,3,26,0,26620,1,28,31,25
m_e,LULESH_OMP.cc,2681,318791,9,56,103,7,1,7694,1,14,16,7
m_yd,LULESH_OMP.cc,2057,319199,10,21,3,26,0,29623,0,0,0,0
m_x,LULESH_OMP.cc,2035,319212,10,22,2,15,1,16729,0,0,0,0
m_xd,LULESH_OMP.cc,2056,319248,10,50,104,14,0,17214,0,0,0,0
m_xd,LULESH_OMP.cc,2056,319253,10,30,129,8,0,10655,0,0,0,0
m_z,LULESH_OMP.cc,2037,319253,10,37,101,23,1,26062,0,0,0,0
m_z,LULESH_OMP.cc,2037,319258,10,22,103,31,1,34827,0,0,0,0
m_vnew,LULESH_OMP.cc,2193,319277,10,21,103,6,0,6484,1,20,10,6
m_vnew,LULESH_OMP.cc,2193,319294,10,36,101,9,1,10128,1,16,28,9
m_lxim,LULESH_OMP.cc,2288,319300,10,36,0,13,1,13340,1,28,0,13
m_delv_zeta,LULESH_OMP.cc,2344,319301,10,21,3,23,1,23596,1,12,1,23
m_delv_zeta,LULESH_OMP.cc,2347,319301,10,21,3,26,0,25655,1,23,1,25
m_delv_zeta,LULESH_OMP.cc,2353,319309,10,21,3,7,1,8519,1,7,10,8
m_delv_zeta,LULESH_OMP.cc,2353,319311,10,21,3,23,1,24936,1,8,11,24
m_delx_zeta,LULESH_OMP.cc,2381,319312,10,21,2,20,0,20891,1,27,12,20
m_delv_zeta,LULESH_OMP.cc,2347,319319,10,22,3,5,1,4746,1,10,20,4
m_delv_eta,LULESH_OMP.cc,2324,319326,10,52,104,10,0,11102,1,30,26,10
m_vnew,LULESH_OMP.cc,2387,319327,10,21,3,18,0,19305,1,9,27,18
m_letam,LULESH_OMP.cc,2318,319327,10,21,3,3,1,3932,1,28,26,3
m_elemBC,LULESH_OMP.cc,2281,319333,10,327,128,10,0,11260,1,28,31,10
m_z,LULESH_OMP.cc,1054,319560,11,21,103,13,1,15862,0,0,0,0
m_zd,LULESH_OMP.cc,1483,319574,11,37,0,21,1,24030,0,0,0,0
m_matElemlist,??,0,319655,11,48,104,8,0,6848,1,0,22,6
m_x,LULESH_OMP.cc,2035,319748,11,372,100,25,1,27278,0,0,0,0
m_x,LULESH_OMP.cc,2035,319750,11,21,1,6,0,7698,0,0,0,0
m_xd,LULESH_OMP.cc,2056,319759,11,21,103,4,0,5618,0,0,0,0
m_xd,LULESH_OMP.cc,2056,319762,11,21,103,3,1,4547,0,0,0,0
m_x,LULESH_OMP.cc,2035,319778,11,255,1,7,1,8094,0,0,0,0
m_x,LULESH_OMP.cc,2035,319800,11,52,104,20,0,23654,0,0,0,0
m_x,LULESH_OMP.cc,2035,319802,11,22,3,2,0,2981,0,0,0,0
m_xd,LULESH_OMP.cc,2056,319812,11,21,103,8,0,10741,0,0,0,0
m_vnew,LULESH_OMP.cc,2193,319851,11,23,3,10,0,10974,1,30,22,10
m_elemMass,LULESH_OMP.cc,2387,319863,11,21,3,30,0,30778,1,26,1,30
m_delv_zeta,LULESH_OMP.cc,2353,319864,11,22,1,30,0,31836,1,28,2,31
m_delv_zeta,LULESH_OMP.cc,2353,319864,11,21,103,2,0,3164,1,28,2,3
m_elemBC,LULESH_OMP.cc,2281,319871,11,21,1,28,0,29004,1,12,10,28
m_lzetap,LULESH_OMP.cc,2353,319888,11,21,103,6,0,6876,1,28,22,6
m_e,LULESH_OMP.cc,2681,319919,11,384,3,17,1,17990,1,6,18,17
m_x,LULESH_OMP.cc,961,320019,12,44,4,0,0,1123,0,0,0,0
m_nodeElemCornerList,LULESH_OMP.cc,1000,320084,12,24,103,30,0,256899,1,16,11,31
m_y,LULESH_OMP.cc,1047,320122,12,102,23,5,1,7166,0,0,0,0
m_x,LULESH_OMP.cc,1762,320309,12,176,23,11,1,12364,0,0,0,0
m_xd,LULESH_OMP.cc,2056,320316,12,37,0,12,0,13153,0,0,0,0
m_zd,LULESH_OMP.cc,2058,320326,12,21,3,14,0,16520,0,0,0,0
m_x,LULESH_OMP.cc,2035,320335,12,21,3,2,0,3598,0,0,0,0
m_zd,LULESH_OMP.cc,2058,320337,12,22,101,25,1,27519,0,0,0,0
m_xd,LULESH_OMP.cc,2056,320339,12,21,101,8,0,10153,0,0,0,0
m_zd,LULESH_OMP.cc,2058,320343,12,22,3,13,1,15677,0,0,0,0
m_z,LULESH_OMP.cc,2037,320344,12,21,101,19,1,22216,0,0,0,0
m_y,LULESH_OMP.cc,2036,320351,12,21,1,7,1,8151,0,0,0,0
m_xd,LULESH_OMP.cc,2056,320359,12,21,103,13,1,15869,0,0,0,0
m_xd,LULESH_OMP.cc,2056,320376,12,47,100,31,1,34606,0,0,0,0
m_x,LULESH_OMP.cc,2035,320377,12,34,0,23,1,25942,0,0,0,0
m_xd,LULESH_OMP.cc,2056,320379,12,230,100,7,1,8590,0,0,0,0
m_xd,LULESH_OMP.cc,2056,320379,12,22,101,15,1,17220,0,0,0,0
m_xd,LULESH_OMP.cc,2056,320383,12,21,103,15,1,18348,0,0,0,0
m_dxx,LULESH_OMP.cc,2099,320400,12,27,101,2,0,2930,1,18,27,2
m_zd,LULESH_OMP.cc,2188,320409,12,21,1,17,1,19903,0,0,0,0
m_delv_zeta,LULESH_OMP.cc,2347,320443,12,21,3,11,1,10556,1,28,9,10
m_delv_zeta,LULESH_OMP.cc,2344,320444,12,21,3,24,0,24980,1,20,12,24
m_delv_zeta,LULESH_OMP.cc,2353,320465,12,21,1,9,1,11128,1,24,27,10
m_z,LULESH_OMP.cc,1050,320694,13,29,103,7,1,8548,0,0,0,0
m_zd,LULESH_OMP.cc,1481,320751,13,30,23,6,0,8411,0,0,0,0
m_elemMass,LULESH_OMP.cc,1447,320755,13,32,103,8,0,9031,1,7,26,8
m_xd,LULESH_OMP.cc,2056,320881,13,21,101,16,0,18574,0,0,0,0
m_yd,LULESH_OMP.cc,2057,320888,13,21,1,23,1,25187,0,0,0,0
m_x,LULESH_OMP.cc,2035,320911,13,21,101,5,1,5923,0,0,0,0
m_xd,LULESH_OMP.cc,2056,320912,13,21,103,23,1,26654,0,0,0,0
m_xd,LULESH_OMP.cc,2056,320918,13,21,101,16,0,18014,0,0,0,0
m_x,LULESH_OMP.cc,2035,320919,13,21,103,14,0,15795,0,0,0,0
m_x,LULESH_OMP.cc,2035,320924,13,21,3,26,0,28950,0,0,0,0
m_volo,LULESH_OMP.cc,2042,320926,13,21,101,16,0,17070,1,14,21,16
m_zd,LULESH_OMP.cc,2058,320952,13,21,3,29,1,33688,0,0,0,0
m_y,LULESH_OMP.cc,2150,320992,13,56,103,9,1,10750,0,0,0,0
m_delv_zeta,LULESH_OMP.cc,2347,321012,13,21,3,7,1,6632,1,8,15,6
m_matElemlist,LULESH_OMP.cc,2280,321016,13,21,103,23,1,24124,1,28,17,23
m_delv_zeta,LULESH_OMP.cc,2347,321016,13,21,3,24,0,24092,1,28,16,23
m_delv_eta,LULESH_OMP.cc,2315,321029,13,22,102,20,0,21402,1,26,28,20
m_x,LULESH_OMP.cc,961,321174,14,93,103,23,1,25454,0,0,0,0
m_x,LULESH_OMP.cc,961,321181,14,35,3,29,1,32150,0,0,0,0
m_xd,LULESH_OMP.cc,1459,321322,14,23,23,14,0,16117,0,0,0,0
m_nodeElemStart,LULESH_OMP.cc,1565,321344,14,32,103,18,0,20402,0,0,0,0
m_xd,LULESH_OMP.cc,2056,321447,14,280,0,2,0,2182,0,0,0,0
m_x,LULESH_OMP.cc,2035,321453,14,263,100,10,0,10998,0,0,0,0
m_zd,LULESH_OMP.cc,2058,321465,14,21,3,1,1,2425,0,0,0,0
m_x,LULESH_OMP.cc,2035,321467,14,21,103,12,0,14425,0,0,0,0
m_xd,LULESH_OMP.cc,2056,321476,14,35,100,13,1,14598,0,0,0,0
m_xd,LULESH_OMP.cc,2056,321484,14,22,1,0,0,1514,0,0,0,0
m_x,LULESH_OMP.cc,2035,321488,14,243,0,15,1,16895,0,0,0,0
m_xd,LULESH_OMP.cc,2056,321497,14,49,104,19,1,22542,0,0,0,0
m_xd,LULESH_OMP.cc,2056,321515,14,21,103,5,1,6397,0,0,0,0
m_x,LULESH_OMP.cc,2139,321535,14,56,0,10,0,10890,0,0,0,0
m_yd,LULESH_OMP.cc,2179,321539,14,22,3,20,0,23030,0,0,0,0
m_y,LULESH_OMP.cc,2148,321542,14,26,1,22,0,24236,0,0,0,0
m_delv_zeta,LULESH_OMP.cc,2347,321565,14,21,103,23,1,22530,1,2,0,22
m_delv_zeta,LULESH_OMP.cc,2347,321565,14,47,0,14,0,13317,1,5,0,13
m_vdov,LULESH_OMP.cc,2374,321575,14,21,3,21,1,21836,1,12,10,21
m_delx_xi,LULESH_OMP.cc,2379,321578,14,24,102,13,1,13722,1,26,12,13
m_elemMass,LULESH_OMP.cc,2387,321589,14,22,103,31,1,32546,1,2,25,31
m_delv_zeta,LULESH_OMP.cc,2353,321599,14,21,1,10,0,12228,1,4,30,11
m_x,LULESH_OMP.cc,961,321737,15,47,104,21,1,24302,0,0,0,0
m_x,LULESH_OMP.cc,961,321754,15,51,100,5,1,6150,0,0,0,0
m_x,LULESH_OMP.cc,961,321758,15,34,0,18,0,20470,0,0,0,0
m_ss,LULESH_OMP.cc,1446,321877,15,134,101,18,0,19030,1,22,18,18
m_xd,LULESH_OMP.cc,1459,321897,15,21,1,22,0,24883,0,0,0,0
m_ss,LULESH_OMP.cc,1446,321901,15,28,101,24,0,25573,1,5,31,24
m_xd,LULESH_OMP.cc,2056,322015,15,22,103,6,0,7674,0,0,0,0
m_xd,LULESH_OMP.cc,2056,322023,15,21,103,19,1,20808,0,0,0,0
m_yd,LULESH_OMP.cc,2057,322029,15,23,103,18,0,19807,0,0,0,0
m_yd,LULESH_OMP.cc,2057,322030,15,21,1,28,0,30738,0,0,0,0
m_x,LULESH_OMP.cc,2035,322032,15,38,101,16,0,17678,0,0,0,0
m_xd,LULESH_OMP.cc,2056,322051,15,55,0,28,0,31022,0,0,0,0
m_xd,LULESH_OMP.cc,2056,322067,15,21,1,19,1,21454,0,0,0,0
m_xd,LULESH_OMP.cc,2056,322082,15,244,3,0,0,1845,0,0,0,0
m_xd,LULESH_OMP.cc,2056,322083,15,22,1,19,1,21704,0,0,0,0
m_z,LULESH_OMP.cc,2161,322120,15,21,3,11,1,13722,0,0,0,0
m_delv_zeta,LULESH_OMP.cc,2347,322160,15,21,101,6,0,5881,1,25,23,5
m_elemBC,LULESH_OMP.cc,2281,322162,15,21,3,7,1,7979,1,11,25,7
m_y,LULESH_OMP.cc,962,322323,15,139,0,14,0,17134,0,0,0,0
m_x,LULESH_OMP.cc,961,322326,16,26,2,25,1,28031,0,0,0,0
m_z,LULESH_OMP.cc,1056,322374,16,338,101,17,1,19636,0,0,0,0
m_ss,LULESH_OMP.cc,1446,322427,16,28,2,28,0,28997,1,5,10,28
m_xd,LULESH_OMP.cc,1459,322465,16,21,103,22,0,24952,0,0,0,0
m_fz,LULESH_OMP.cc,1577,322481,16,21,102,30,0,33774,0,0,0,0
m_y,LULESH_OMP.cc,2036,322603,16,21,101,2,0,2493,0,0,0,0
m_y,LULESH_OMP.cc,2036,322612,16,21,3,31,1,34145,0,0,0,0
m_xd,LULESH_OMP.cc,2056,322621,16,21,1,7,1,8199,0,0,0,0
m_x,LULESH_OMP.cc,2035,322631,16,21,3,12,0,13739,0,0,0,0
m_zd,LULESH_OMP.cc,2058,322647,16,22,3,5,1,7475,0,0,0,0
m_zd,LULESH_OMP.cc,2058,322649,16,21,103,19,1,21594,0,0,0,0
m_delv_zeta,LULESH_OMP.cc,2353,322700,16,51,1,5,1,6144,1,0,0,6
m_delv_zeta,LULESH_OMP.cc,2353,322720,16,21,103,6,0,7805,1,29,19,7
m_delv_eta,LULESH_OMP.cc,2315,322729,16,21,3,23,1,24364,1,12,25,23
m_vdov,LULESH_OMP.cc,2374,322729,16,21,3,7,1,7949,1,13,24,7
m_delv_zeta,LULESH_OMP.cc,2353,322729,16,21,3,3,1,4925,1,29,25,4
m_delx_zeta,LULESH_OMP.cc,2381,322732,16,21,3,17,1,18332,1,28,28,17
m_x,LULESH_OMP.cc,961,322860,16,37,3,23,1,25206,0,0,0,0
m_nodelist,LULESH_OMP.cc,960,322860,16,24,1,13,1,107330,1,8,3,13
m_x,LULESH_OMP.cc,961,322880,16,24,3,27,1,31075,0,0,0,0
m_x,LULESH_OMP.cc,961,322893,16,21,3,26,0,29182,0,0,0,0
m_y,LULESH_OMP.cc,1042,322959,17,31,3,26,0,29054,0,0,0,0
m_xd,LULESH_OMP.cc,1463,323018,17,30,25,5,1,7326,0,0,0,0
m_x,LULESH_OMP.cc,2035,323157,17,376,3,15,1,16422,0,0,0,0
m_xd,LULESH_OMP.cc,2056,323159,17,27,2,26,0,29531,0,0,0,0
m_x,LULESH_OMP.cc,2035,323161,17,21,3,11,1,12096,0,0,0,0
m_z,LULESH_OMP.cc,2037,323169,17,21,3,10,0,11101,0,0,0,0
m_xd,LULESH_OMP.cc,2056,323190,17,51,103,20,0,22347,0,0,0,0
m_xd,LULESH_OMP.cc,2056,323199,17,21,3,11,1,13707,0,0,0,0
m_x,LULESH_OMP.cc,2035,323204,17,21,3,26,0,29013,0,0,0,0
m_xd,LULESH_OMP.cc,2056,323212,17,21,3,14,0,17129,0,0,0,0
m_x,LULESH_OMP.cc,2035,323221,17,21,103,16,0,18338,0,0,0,0
m_x,LULESH_OMP.cc,2035,323223,17,21,103,23,1,26040,0,0,0,0
m_y,LULESH_OMP.cc,2154,323260,17,28,3,8,0,10508,0,0,0,0
m_vnew,LULESH_OMP.cc,2193,323270,17,25,103,12,0,13302,1,22,31,12
