variable,source,line,time,iter,latency,data_source,cpu,node,index,map3D,xidx,yidx,zidx
m_matElemlist,LULESH_OMP.cc,2014,0,1,109,32,4,0,9688,1,24,14,9
m_delv,??,0,5112,1,34,100,10,0,7992,1,24,25,7
m_matElemlist,??,0,23017,1,38,100,4,0,6848,1,0,22,6
m_matElemlist,LULESH_OMP.cc,2014,31469,1,109,32,4,0,9688,1,24,14,9
m_matElemlist,LULESH_OMP.cc,2005,36258,1,30,23,20,0,9688,1,24,14,9
m_matElemlist,LULESH_OMP.cc,2014,36641,1,61,132,12,0,14628,1,4,9,14
m_delv,??,0,40562,1,32,100,4,0,7831,1,23,20,7
m_matElemlist,LULESH_OMP.cc,2014,46090,1,100,22,4,0,9688,1,24,14,9
m_matElemlist,??,0,63208,1,40,104,6,0,6848,1,0,22,6
m_matElemlist,LULESH_OMP.cc,2014,75068,1,99,128,6,0,9688,1,24,14,9
m_delv,??,0,75325,1,44,104,0,0,7830,1,22,20,7
m_matElemlist,LULESH_OMP.cc,2014,76422,2,73,32,8,0,14628,1,4,9,14
m_matElemlist,LULESH_OMP.cc,2014,80290,2,61,128,0,0,14628,1,4,9,14
m_matElemlist,LULESH_OMP.cc,2014,104968,2,101,32,30,0,9688,1,24,14,9
m_matElemlist,LULESH_OMP.cc,2014,119254,2,101,32,30,0,9688,1,24,14,9
m_delv,??,0,120012,2,45,101,30,0,7835,1,27,20,7
m_matElemlist,LULESH_OMP.cc,2014,122456,2,101,132,30,0,9688,1,24,14,9
m_matElemlist,LULESH_OMP.cc,2014,122853,2,101,132,30,0,9688,1,24,14,9
m_matElemlist,LULESH_OMP.cc,2014,157807,2,99,128,6,0,9688,1,24,14,9
m_matElemlist,LULESH_OMP.cc,2014,162031,2,107,128,8,0,9688,1,24,14,9
m_delv,??,0,186932,2,114,132,8,0,8518,1,6,10,8
m_matElemlist,LULESH_OMP.cc,2014,195519,2,109,128,8,0,9688,1,24,14,9
m_delv,??,0,225098,2,44,103,14,0,8024,1,24,26,7
m_matElemlist,LULESH_OMP.cc,2014,225530,2,68,128,6,0,9688,1,24,14,9
m_matElemlist,LULESH_OMP.cc,2014,234062,2,107,128,8,0,9688,1,24,14,9
m_matElemlist,LULESH_OMP.cc,2014,241372,3,101,128,0,0,9688,1,24,14,9
m_matElemlist,LULESH_OMP.cc,2014,245675,3,107,22,8,0,9688,1,24,14,9
m_matElemlist,??,0,253132,3,43,0,30,0,6848,1,0,22,6
m_matElemlist,LULESH_OMP.cc,2014,261292,3,101,132,30,0,9688,1,24,14,9
m_matElemlist,LULESH_OMP.cc,2014,273887,3,101,132,30,0,9688,1,24,14,9
m_delv,??,0,275619,3,47,0,8,0,7835,1,27,20,7
m_matElemlist,LULESH_OMP.cc,2014,285846,3,101,32,30,0,9688,1,24,14,9
m_delv,??,0,292173,3,97,22,14,0,8518,1,6,10,8
m_matElemlist,LULESH_OMP.cc,2014,295990,3,103,132,0,0,9688,1,24,14,9
m_matElemlist,??,0,296242,3,163,32,6,0,6476,1,12,10,6
m_delv,??,0,296498,3,39,100,8,0,8517,1,5,10,8
m_zd,LULESH_OMP.cc,1764,315205,3,35,103,12,0,14254,0,0,0,0
m_y,LULESH_OMP.cc,2036,315213,3,22,1,29,1,32767,0,0,0,0
m_z,LULESH_OMP.cc,2037,315233,3,25,103,10,0,11257,0,0,0,0
m_x,LULESH_OMP.cc,2035,315258,3,21,103,18,0,20321,0,0,0,0
m_xd,LULESH_OMP.cc,2056,315267,3,21,103,6,0,8448,0,0,0,0
m_x,LULESH_OMP.cc,2035,315281,3,21,3,30,0,33681,0,0,0,0
m_vnew,LULESH_OMP.cc,2193,315308,3,23,103,7,1,7740,1,28,17,7
m_lxip,LULESH_OMP.cc,2294,315323,3,24,1,12,0,12312,1,24,0,12
m_elemMass,LULESH_OMP.cc,2387,315340,3,21,1,29,1,30271,1,31,17,29
m_elemMass,LULESH_OMP.cc,2387,315351,3,51,104,23,1,24438,1,22,27,23
m_v,LULESH_OMP.cc,1621,315581,4,58,104,19,1,19942,1,6,15,19
m_xd,LULESH_OMP.cc,1740,315775,4,23,103,21,1,24647,0,0,0,0
m_xd,LULESH_OMP.cc,2056,315791,4,48,104,6,0,6724,0,0,0,0
m_xd,LULESH_OMP.cc,2056,315793,4,21,3,15,1,17595,0,0,0,0
m_x,LULESH_OMP.cc,2035,315802,4,22,101,5,1,5749,0,0,0,0
m_x,LULESH_OMP.cc,2035,315816,4,286,100,0,0,1566,0,0,0,0
m_x,LULESH_OMP.cc,2035,315821,4,21,103,31,1,34297,0,0,0,0
m_x,LULESH_OMP.cc,2035,315822,4,26,103,28,0,31090,0,0,0,0
m_zd,LULESH_OMP.cc,2058,315824,4,21,1,26,0,30013,0,0,0,0
m_xd,LULESH_OMP.cc,2056,315829,4,21,3,2,0,3983,0,0,0,0
m_zd,LULESH_OMP.cc,2058,315829,4,21,103,29,1,32250,0,0,0,0
m_xd,LULESH_OMP.cc,2056,315830,4,45,3,4,0,6166,0,0,0,0
m_x,LULESH_OMP.cc,2035,315842,4,21,3,30,0,33521,0,0,0,0
m_delv_zeta,LULESH_OMP.cc,2353,315896,4,21,103,26,0,27669,1,21,0,27
m_lzetap,LULESH_OMP.cc,2353,315900,4,21,103,27,1,27769,1,25,3,27
m_volo,LULESH_OMP.cc,2387,315905,4,21,103,14,0,14628,1,4,9,14
m_elemMass,LULESH_OMP.cc,2387,315907,4,22,1,22,0,22881,1,1,11,22
m_delv_zeta,LULESH_OMP.cc,2353,315925,4,21,3,23,1,25483,1,11,28,24
m_x,LULESH_OMP.cc,961,316053,5,26,3,11,1,13069,0,0,0,0
m_z,LULESH_OMP.cc,963,316069,5,42,3,6,0,6870,0,0,0,0
m_x,LULESH_OMP.cc,961,316094,5,50,104,16,0,19494,0,0,0,0
m_x,LULESH_OMP.cc,1762,316345,5,25,103,7,1,8111,0,0,0,0
m_xd,LULESH_OMP.cc,2056,316350,5,21,3,6,0,7681,0,0,0,0
m_x,LULESH_OMP.cc,2035,316358,5,250,103,26,0,29550,0,0,0,0
m_x,LULESH_OMP.cc,2035,316364,5,21,3,26,0,28547,0,0,0,0
m_x,LULESH_OMP.cc,2035,316371,5,21,3,31,1,35158,0,0,0,0
m_x,LULESH_OMP.cc,2035,316372,5,232,3,23,1,26520,0,0,0,0
m_x,LULESH_OMP.cc,2035,316372,5,21,3,0,0,285,0,0,0,0
m_xd,LULESH_OMP.cc,2056,316378,5,21,1,12,0,14583,0,0,0,0
m_xd,LULESH_OMP.cc,2056,316385,5,47,0,10,0,11398,0,0,0,0
m_x,LULESH_OMP.cc,2035,316391,5,272,3,14,0,16950,0,0,0,0
m_x,LULESH_OMP.cc,2035,316393,5,54,4,29,1,33286,0,0,0,0
m_xd,LULESH_OMP.cc,2056,316420,5,21,101,30,0,34694,0,0,0,0
m_vnew,LULESH_OMP.cc,2193,316457,5,21,101,21,1,22320,1,16,25,21
m_delv_zeta,LULESH_OMP.cc,2353,316465,5,30,103,6,0,7189,1,21,0,7
m_elemMass,LULESH_OMP.cc,2387,316472,5,22,103,1,1,1220,1,4,6,1
m_delv_zeta,LULESH_OMP.cc,2347,316481,5,21,3,24,0,24007,1,7,14,23
m_elemBC,LULESH_OMP.cc,2281,316498,5,383,131,31,1,32764,1,28,31,31
m_x,LULESH_OMP.cc,961,316639,6,23,1,3,1,4761,0,0,0,0
m_x,LULESH_OMP.cc,961,316643,6,50,103,25,1,28846,0,0,0,0
m_xd,LULESH_OMP.cc,1465,316741,6,52,4,7,1,8806,0,0,0,0
m_zd,LULESH_OMP.cc,2058,316914,6,41,100,30,0,32734,0,0,0,0
m_xd,LULESH_OMP.cc,2056,316916,6,56,1,8,0,8790,0,0,0,0
m_x,LULESH_OMP.cc,2035,316918,6,21,3,12,0,13151,0,0,0,0
m_xd,LULESH_OMP.cc,2056,316939,6,242,100,13,1,15646,0,0,0,0
m_zd,LULESH_OMP.cc,2058,316940,6,21,103,13,1,15623,0,0,0,0
m_xd,LULESH_OMP.cc,2056,316942,6,251,1,16,0,18982,0,0,0,0
m_x,LULESH_OMP.cc,2035,316952,6,21,101,12,0,14699,0,0,0,0
m_zd,LULESH_OMP.cc,2058,316969,6,21,103,8,0,10528,0,0,0,0
m_x,LULESH_OMP.cc,2035,316980,6,21,103,16,0,18434,0,0,0,0
m_x,LULESH_OMP.cc,2035,316982,6,21,103,19,1,22774,0,0,0,0
