variable,source,line,time,iter,latency,dataSource,cpu,node,index,map3D,xidx,yidx,zidx
m_y,LULESH_OMP.cc,2036,cd9e8ca2355da,8,21,67,7,1,8553,0,0,0,0
m_z,LULESH_OMP.cc,2157,cd9e8ca7f9399,8,21,1,21,1,23784,0,0,0,0
m_delv_zeta,LULESH_OMP.cc,2347,cd9e8ca8dc191,8,21,67,24,0,23565,1,13,0,23
m_delv_zeta,LULESH_OMP.cc,2344,cd9e8ca9cacaa,8,21,3,24,0,24808,1,8,7,24
m_delv_zeta,LULESH_OMP.cc,2347,cd9e8cac6fef8,8,22,65,11,1,11094,1,22,26,10
m_delv_zeta,LULESH_OMP.cc,2347,cd9e8cad4e2f2,8,21,3,17,1,17355,1,11,30,16
m_y,LULESH_OMP.cc,962,cd9e8cbdafd2a,9,36,64,7,1,8878,0,0,0,0
m_x,LULESH_OMP.cc,961,cd9e8cbf97b7b,9,47,64,16,0,19086,0,0,0,0
m_z,LULESH_OMP.cc,1050,cd9e8cc96091b,9,29,17,0,0,451,0,0,0,0
m_x,LULESH_OMP.cc,2035,cd9e8ce2673b4,9,259,3,18,0,20691,0,0,0,0
m_z,LULESH_OMP.cc,2037,cd9e8ce2b0ec0,9,377,0,15,1,16390,0,0,0,0
m_x,LULESH_OMP.cc,2035,cd9e8ce2c2a29,9,22,2,28,0,30552,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd9e8ce408130,9,21,67,12,0,14325,0,0,0,0
m_v,LULESH_OMP.cc,2044,cd9e8ce4691c2,9,22,67,19,1,19665,1,17,6,19
m_x,LULESH_OMP.cc,2035,cd9e8ce5951a6,9,21,67,20,0,22117,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd9e8ce937a2e,9,21,3,7,1,9428,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd9e8cea33170,9,32,1,2,0,3086,0,0,0,0
m_zd,LULESH_OMP.cc,2058,cd9e8cec2e137,9,21,67,24,0,27166,0,0,0,0
m_elemBC,LULESH_OMP.cc,2281,cd9e8cf1854bf,9,22,67,7,1,7180,1,12,0,7
m_delv_zeta,LULESH_OMP.cc,2347,cd9e8cf19dc9c,9,21,67,6,0,5151,1,31,0,5
m_delv_eta,LULESH_OMP.cc,2324,cd9e8cf2ff12f,9,46,4,25,1,26030,1,14,13,25
m_delv_zeta,LULESH_OMP.cc,2347,cd9e8cf5e9345,9,24,3,26,0,26620,1,28,31,25
m_e,LULESH_OMP.cc,2681,cd9e8cf8923c7,9,56,67,7,1,7694,1,14,16,7
m_yd,LULESH_OMP.cc,2057,cd9e8d2d1b448,10,21,3,26,0,29623,0,0,0,0
m_x,LULESH_OMP.cc,2035,cd9e8d2ed24d6,10,22,2,15,1,16729,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd9e8d3369c0b,10,50,68,14,0,17214,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd9e8d340d7bd,10,30,81,8,0,10655,0,0,0,0
m_z,LULESH_OMP.cc,2037,cd9e8d3414056,10,37,65,23,1,26062,0,0,0,0
m_z,LULESH_OMP.cc,2037,cd9e8d34c11cb,10,22,67,31,1,34827,0,0,0,0
m_vnew,LULESH_OMP.cc,2193,cd9e8d37206aa,10,21,67,6,0,6484,1,20,10,6
m_vnew,LULESH_OMP.cc,2193,cd9e8d3961999,10,36,65,9,1,10128,1,16,28,9
m_lxim,LULESH_OMP.cc,2288,cd9e8d3a1880a,10,36,0,13,1,13340,1,28,0,13
m_delv_zeta,LULESH_OMP.cc,2344,cd9e8d3a36474,10,21,3,23,1,23596,1,12,1,23
m_delv_zeta,LULESH_OMP.cc,2347,cd9e8d3a3eeae,10,21,3,26,0,25655,1,23,1,25
m_delv_zeta,LULESH_OMP.cc,2353,cd9e8d3b4d1de,10,21,3,7,1,8519,1,7,10,8
m_delv_zeta,LULESH_OMP.cc,2353,cd9e8d3b802a7,10,21,3,23,1,24936,1,8,11,24
m_delx_zeta,LULESH_OMP.cc,2381,cd9e8d3b99d5e,10,21,2,20,0,20891,1,27,12,20
m_delv_zeta,LULESH_OMP.cc,2347,cd9e8d3c94f06,10,22,3,5,1,4746,1,10,20,4
m_delv_eta,LULESH_OMP.cc,2324,cd9e8d3d6cf37,10,52,68,10,0,11102,1,30,26,10
m_vnew,LULESH_OMP.cc,2387,cd9e8d3d9dded,10,21,3,18,0,19305,1,9,27,18
m_letam,LULESH_OMP.cc,2318,cd9e8d3da0069,10,21,3,3,1,3932,1,28,26,3
m_elemBC,LULESH_OMP.cc,2281,cd9e8d3e497c3,10,327,80,10,0,11260,1,28,31,10
m_z,LULESH_OMP.cc,1054,cd9e8d5b86f45,11,21,67,13,1,15862,0,0,0,0
m_zd,LULESH_OMP.cc,1483,cd9e8d5d68bfd,11,37,0,21,1,24030,0,0,0,0
m_matElemlist,??,0,cd9e8d67caec2,11,48,68,8,0,6848,1,0,22,6
m_x,LULESH_OMP.cc,2035,cd9e8d73d132d,11,372,64,25,1,27278,0,0,0,0
m_x,LULESH_OMP.cc,2035,cd9e8d740e306,11,21,1,6,0,7698,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd9e8d7525b4d,11,21,67,4,0,5618,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd9e8d7592132,11,21,67,3,1,4547,0,0,0,0
