variable,source,line,time,iter,latency,dataSource,cpu,node,index,map3D,xidx,yidx,zidx
m_x,LULESH_OMP.cc,961,cd5c6a935d685,1,369,67,9,1,10990,0,0,0,0
m_z,LULESH_OMP.cc,963,cd5c6a9373fe4,1,388,80,21,1,24062,0,0,0,0
m_x,LULESH_OMP.cc,961,cd5c6a9476940,1,42,68,19,1,22111,0,0,0,0
m_x,LULESH_OMP.cc,961,cd5c6a957e936,1,244,3,12,0,13574,0,0,0,0
m_x,LULESH_OMP.cc,961,cd5c6a9847639,1,207,17,22,0,26110,0,0,0,0
m_z,LULESH_OMP.cc,2037,cd5c6abae18ee,1,22,3,28,0,30507,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd5c6abb7f822,1,21,67,6,0,7713,0,0,0,0
m_x,LULESH_OMP.cc,2035,cd5c6abc6bfad,1,21,67,4,0,4546,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd5c6abccf016,1,32,0,19,1,20958,0,0,0,0
m_x,LULESH_OMP.cc,2035,cd5c6abd558ee,1,41,3,25,1,27525,0,0,0,0
m_yd,LULESH_OMP.cc,2057,cd5c6abdf2d25,1,21,3,8,0,10127,0,0,0,0
m_x,LULESH_OMP.cc,2035,cd5c6abe272d2,1,21,1,22,0,24319,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd5c6abf8ab0f,1,240,65,4,0,4910,0,0,0,0
m_x,LULESH_OMP.cc,2035,cd5c6ac05849b,1,22,67,27,1,31086,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd5c6ac1a67a3,1,21,3,27,1,31221,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd5c6ac1b187d,1,21,3,17,1,20325,0,0,0,0
m_x,LULESH_OMP.cc,2035,cd5c6ac33c6e3,1,44,0,15,1,18358,0,0,0,0
m_x,LULESH_OMP.cc,2035,cd5c6ac3b1ad1,2,21,67,6,0,7519,0,0,0,0
m_z,LULESH_OMP.cc,2161,cd5c6ac6ab1b2,2,21,67,26,0,29603,0,0,0,0
m_delv_zeta,LULESH_OMP.cc,2347,cd5c6acb16ccf,2,21,67,9,1,8452,1,4,8,8
m_e,LULESH_OMP.cc,2681,cd5c6ad17eb7f,2,54,3,12,0,13126,1,6,26,12
m_x,LULESH_OMP.cc,961,cd5c6addc2801,2,160,17,23,1,25047,0,0,0,0
m_x,LULESH_OMP.cc,961,cd5c6ae21d399,2,49,0,19,1,21430,0,0,0,0
m_x,LULESH_OMP.cc,1032,cd5c6ae96351e,2,21,3,4,0,4510,0,0,0,0
m_volo,LULESH_OMP.cc,1621,cd5c6ae9fa453,2,451,1,0,0,267,1,11,8,0
m_x,LULESH_OMP.cc,2035,cd5c6b04ee6d9,2,22,1,5,1,6561,0,0,0,0
m_yd,LULESH_OMP.cc,2057,cd5c6b0588e3c,2,21,3,9,1,10980,0,0,0,0
m_x,LULESH_OMP.cc,2035,cd5c6b0630caa,2,21,67,26,0,28456,0,0,0,0
m_yd,LULESH_OMP.cc,2057,cd5c6b06b6d83,2,21,65,28,0,30732,0,0,0,0
m_x,LULESH_OMP.cc,2035,cd5c6b077a0aa,2,254,65,7,1,9023,0,0,0,0
m_nodelist,LULESH_OMP.cc,2034,cd5c6b0924ac5,2,21,1,21,1,175794,1,22,14,21
m_volo,LULESH_OMP.cc,2042,cd5c6b09441ef,2,21,67,18,0,18984,1,8,17,18
m_xd,LULESH_OMP.cc,2056,cd5c6b0a9d44d,2,25,3,6,0,7192,0,0,0,0
m_x,LULESH_OMP.cc,2035,cd5c6b0bb1302,2,21,3,9,1,10535,0,0,0,0
m_zd,LULESH_OMP.cc,2058,cd5c6b0bb6878,2,21,3,20,0,22584,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd5c6b0c4f80c,2,22,65,0,0,1837,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd5c6b0d0a5c5,2,51,3,23,1,27038,0,0,0,0
m_x,LULESH_OMP.cc,2035,cd5c6b0d33dff,2,21,67,8,0,10688,0,0,0,0
m_z,LULESH_OMP.cc,2037,cd5c6b0d51318,3,235,0,17,1,19454,0,0,0,0
m_x,LULESH_OMP.cc,2035,cd5c6b0d7fb0a,3,21,67,1,1,3087,0,0,0,0
m_x,LULESH_OMP.cc,2035,cd5c6b0de77cc,3,21,3,6,0,7521,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd5c6b0e093dc,3,21,3,1,1,2078,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd5c6b0e0c79a,3,21,67,28,0,32611,0,0,0,0
m_zd,LULESH_OMP.cc,2188,cd5c6b12b1da6,3,22,67,8,0,10713,0,0,0,0
m_delv_zeta,LULESH_OMP.cc,2347,cd5c6b13a37cd,3,21,3,17,1,16460,1,12,2,16
m_delv_zeta,LULESH_OMP.cc,2353,cd5c6b14fb8fd,3,21,67,18,0,19883,1,11,13,19
m_delv_zeta,LULESH_OMP.cc,2344,cd5c6b151abc1,3,22,66,13,1,13727,1,31,12,13
m_delv_zeta,LULESH_OMP.cc,2347,cd5c6b1625cce,3,22,65,9,1,8897,1,1,22,8
m_delv_zeta,LULESH_OMP.cc,2347,cd5c6b1719e88,3,21,3,22,0,22356,1,20,26,21
m_delx_xi,LULESH_OMP.cc,2379,cd5c6b179d1ab,3,32,3,22,0,23468,1,12,29,22
m_x,LULESH_OMP.cc,961,cd5c6b26f2b3a,3,47,64,12,0,14191,0,0,0,0
m_x,LULESH_OMP.cc,961,cd5c6b2d30a9d,3,51,67,1,1,2126,0,0,0,0
m_nodelist,LULESH_OMP.cc,1450,cd5c6b3d56f00,3,23,17,14,0,120560,1,30,22,14
m_zd,LULESH_OMP.cc,1748,cd5c6b4c17e79,3,110,81,12,0,13488,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd5c6b4db17b6,3,365,65,17,1,18526,0,0,0,0
m_xd,LULESH_OMP.cc,2056,cd5c6b4db5a4b,3,21,3,29,1,32678,0,0,0,0
m_zd,LULESH_OMP.cc,2058,cd5c6b4dd7140,3,28,65,30,0,33812,0,0,0,0
